ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
65	"ENSG00000062716"	"VMP1"	chr17	+	59738836	59738947	59735337	59735473	59764970	59765068
66	"ENSG00000062716"	"VMP1"	chr17	+	59834011	59834050	59817711	59817773	59838294	59838397
67	"ENSG00000141219"	"C17orf80"	chr17	+	73235475	73236995	73233219	73233325	73242243	73242351
68	"ENSG00000141219"	"C17orf80"	chr17	+	73242243	73242351	73235475	73236995	73242895	73243003
69	"ENSG00000266173"	"STRADA"	chr17	-	63704004	63704047	63702818	63703751	63704340	63704582
70	"ENSG00000266173"	"STRADA"	chr17	-	63704340	63704582	63702839	63703751	63706634	63706739
71	"ENSG00000266173"	"STRADA"	chr17	-	63707246	63707418	63706634	63706739	63710490	63710614
72	"ENSG00000266173"	"STRADA"	chr17	-	63712452	63712539	63710727	63710836	63713405	63713527
73	"ENSG00000266173"	"STRADA"	chr17	-	63712452	63712545	63710789	63710836	63713405	63713527
74	"ENSG00000266173"	"STRADA"	chr17	-	63714005	63714108	63713405	63713527	63723297	63723326
75	"ENSG00000266173"	"STRADA"	chr17	-	63714005	63714108	63713405	63713527	63726637	63726695
76	"ENSG00000266173"	"STRADA"	chr17	-	63714005	63714108	63713405	63713527	63728333	63728404
77	"ENSG00000266173"	"STRADA"	chr17	-	63717074	63717154	63714005	63714108	63726637	63726695
78	"ENSG00000266173"	"STRADA"	chr17	-	63717074	63717154	63714005	63714108	63728333	63728413
79	"ENSG00000266173"	"STRADA"	chr17	-	63723297	63723326	63713405	63713527	63726637	63726695
80	"ENSG00000266173"	"STRADA"	chr17	-	63723297	63723326	63714005	63714108	63726637	63726695
81	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63713405	63713527	63728333	63728384
82	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63714005	63714108	63728333	63728384
83	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63714005	63714108	63728357	63728413
84	"ENSG00000266173"	"STRADA"	chr17	-	63726637	63726695	63717074	63717154	63728333	63728384
85	"ENSG00000266173"	"STRADA"	chr17	-	63737395	63737436	63728333	63728413	63741740	63741837
86	"ENSG00000266173"	"STRADA"	chr17	-	63741167	63741253	63728333	63728413	63741740	63741764
87	"ENSG00000266173"	"STRADA"	chr17	-	63741453	63741663	63728333	63728413	63741740	63741788
88	"ENSG00000108654"	"DDX5"	chr17	-	64504221	64504318	64503982	64504116	64504676	64504842
89	"ENSG00000108654"	"DDX5"	chr17	-	64504676	64504842	64504221	64504318	64506075	64506259
90	"ENSG00000108654"	"DDX5"	chr17	-	64504676	64504880	64504221	64504318	64506075	64506289
91	"ENSG00000108654"	"DDX5"	chr17	-	64506075	64506259	64504676	64504842	64506513	64506731
92	"ENSG00000108654"	"DDX5"	chr17	-	64506075	64506262	64504676	64504842	64506513	64506686
93	"ENSG00000108654"	"DDX5"	chr17	-	64506075	64506262	64504676	64504842	64506754	64507530
94	"ENSG00000133193"	"FAM104A"	chr17	-	73212677	73212740	73207352	73209768	73227164	73227264
95	"ENSG00000133193"	"FAM104A"	chr17	-	73227164	73227182	73209604	73209768	73232085	73232320
96	"ENSG00000133193"	"FAM104A"	chr17	-	73227164	73227264	73207352	73209768	73232085	73232367
97	"ENSG00000108474"	"PIGL"	chr17	+	16233970	16234070	16217190	16217461	16299887	16299978
98	"ENSG00000108474"	"PIGL"	chr17	+	16316680	16316712	16313546	16313614	16317774	16317908
99	"ENSG00000182473"	"EXOC7"	chr17	-	76084247	76084289	76084005	76084139	76084516	76084580
100	"ENSG00000182473"	"EXOC7"	chr17	-	76086079	76086145	76085676	76085797	76087653	76087708
101	"ENSG00000182473"	"EXOC7"	chr17	-	76086853	76086892	76086079	76086145	76087653	76087720
102	"ENSG00000182473"	"EXOC7"	chr17	-	76089174	76089320	76088770	76088923	76094413	76094581
103	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090397	76089174	76089320	76091142	76091235
104	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090397	76089174	76089320	76094413	76094581
105	"ENSG00000182473"	"EXOC7"	chr17	-	76090328	76090481	76089174	76089320	76091142	76091235
106	"ENSG00000182473"	"EXOC7"	chr17	-	76091142	76091235	76089174	76089320	76094413	76094581
107	"ENSG00000182473"	"EXOC7"	chr17	-	76091142	76091235	76090328	76090397	76094413	76094581
108	"ENSG00000182473"	"EXOC7"	chr17	-	76101678	76101863	76101011	76101376	76103083	76103270
109	"ENSG00000087157"	"PGS1"	chr17	+	78380870	78381017	78378648	78378808	78392513	78392665
110	"ENSG00000087157"	"PGS1"	chr17	+	78382663	78382785	78378648	78378808	78392475	78392665
111	"ENSG00000087157"	"PGS1"	chr17	+	78392475	78392665	78378648	78378808	78396307	78396385
112	"ENSG00000087157"	"PGS1"	chr17	+	78392513	78392665	78378661	78378808	78396307	78396385
113	"ENSG00000087157"	"PGS1"	chr17	+	78396307	78396385	78392475	78392665	78398251	78398268
114	"ENSG00000087157"	"PGS1"	chr17	+	78414878	78415027	78403567	78404089	78419545	78419675
115	"ENSG00000087157"	"PGS1"	chr17	+	78414951	78415027	78403567	78404089	78419545	78419596
